major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5
Andesite / Basaltic Andesite, , , ,Rhyolite,Dacite, , , 
Andesite / Basaltic Andesite,Trachyte / Trachydacite,Rhyolite, , , , , , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , 
Rhyolite,Trachyte / Trachydacite,Phonolite,Foidite, , , , , 
Andesite / Basaltic Andesite,Dacite, , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Dacite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , ,Trachyte / Trachydacite, , , , 
Rhyolite,Trachyandesite / Basaltic Trachyandesite, , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Dacite, , , ,Basalt / Picro-Basalt,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , 
Andesite / Basaltic Andesite, , , , , , , , 
Dacite, , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Dacite,Rhyolite, , , , , 
Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , 
Dacite, , , , , , , , 
Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , 
Dacite, , , , , , , , 
Basalt / Picro-Basalt,Dacite,Rhyolite, , , , , , 
Dacite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Rhyolite, , , , , 
Trachyandesite / Basaltic Trachyandesite, , , ,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite, , , 
Trachybasalt / Tephrite Basanite,Rhyolite, , , , , , , 
Basalt / Picro-Basalt, , , ,Dacite, , , , 
Basalt / Picro-Basalt, , , ,Trachyandesite / Basaltic Trachyandesite, , , , 
Basalt / Picro-Basalt, , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite, , , ,Dacite,Rhyolite, , , 
Dacite, , , , , , , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,Rhyolite, , , , , 
 , , , ,Rhyolite, , , , 
Dacite,Rhyolite,Basalt / Picro-Basalt, , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Rhyolite,Dacite,Basalt / Picro-Basalt, , , , , , 
Dacite, , , , , , , , 
Dacite,Andesite / Basaltic Andesite, , , , , , , 
Basalt / Picro-Basalt, , , ,Foidite, , , , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
Basalt / Picro-Basalt,Foidite, , , , , , , 
Dacite, , , ,Rhyolite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , 
Basalt / Picro-Basalt, , , ,Dacite, , , , 
 , , , , , , , , 
Phono-tephrite /  Tephri-phonolite, , , ,Basalt / Picro-Basalt, , , , 
Dacite, , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , 
Basalt / Picro-Basalt, , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
