major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5
Basalt / Picro-Basalt,Dacite, , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Dacite, , , ,Basalt / Picro-Basalt, , , , 
Dacite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , 
Basalt / Picro-Basalt, , , ,Dacite, , , , 
 , , , ,Dacite,Basalt / Picro-Basalt, , , 
Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , , , 
 , , , ,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite, , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , ,Dacite, , , , 
Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Dacite,Rhyolite, , , , , , , 
Dacite, , , ,Basalt / Picro-Basalt,Rhyolite, , , 
 , , , ,Dacite, , , , 
Dacite,Basalt / Picro-Basalt,Rhyolite, , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , ,Dacite, , , , 
Dacite, , , , , , , , 
Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite,Dacite, , , 
Andesite / Basaltic Andesite, , , , , , , , 
Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , , , , , , 
 , , , ,Rhyolite,Dacite,Andesite / Basaltic Andesite, , 
Trachyte / Trachydacite,Rhyolite, , , , , , , 
Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , , , , 
Rhyolite,Dacite, , , , , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , 
